Syllable,,,,
er,,,,
er,,,,
er,,,,
rah,,,,
rah,,,,
rah,,,,
ara,,,,
ara,,,,
ara,,,,
ar,,,,
ar,,,,
ar,,,,
ree,,,,
ree,,,,
ree,,,,
ee-ree,,,,
ee-ree,,,,
ee-ree,,,,
ear,,,,
ear,,,,
ear,,,,
roo,,,,
roo,,,,
roo,,,,
oo-roo,,,,
oo-roo,,,,
oo-roo,,,,
oor,,,,
oor,,,,
oor,,,,
