Word,C_or_V,Length,Complexity,Backness,Category,Target,
dirt,vocalic,1_syll,simple,all,vocalic_all,VS,VS
hurt,vocalic,1_syll,simple,all,vocalic_all,VS,VS
burn,vocalic,1_syll,simple,all,vocalic_all,VS,VS
first,vocalic,1_syll,simple,all,vocalic_all,VS,VS
serve,vocalic,1_syll,simple,all,vocalic_all,VS,VS
heard,vocalic,1_syll,simple,all,vocalic_all,VS,VS
