Word,IPA,Length,Complexity,Backness,Category,Target,Subcategory,Onset,Coda
rah,/ra/,1_syll,simple,back,consonantal_back,Ra,Ra,,
roh,/ro/,1_syll,simple,back,consonantal_back,Ro,Ro,,
roo,/ru/,1_syll,simple,back,consonantal_back,Ru,Ru,,
