Word,IPA,Length,Complexity,Backness,Category,Target,Subcategory,Onset,Coda
air, /ɛɚ/,1_syll,simple,front,vocalic_front,Der,Der,,
vair, /vɛɚ/,1_syll,simple,front,vocalic_front,Der,Der,v,
ear, /ɪɚ/ ,1_syll,simple,front,vocalic_front,Dir,Dir,,
zeer, /zɪɚ/ ,1_syll,simple,front,vocalic_front,Dir,Dir,z,
