Word,IPA,Length,Complexity,Backness,Category,Target,Subcategory,Onset,Coda
ret, /rɛt/,1_syll,simple,front,consonantal_front,Re,Re_lax,,t
rab, /raeb/,1_syll,simple,front,consonantal_front,Re,Re_lax,,b
ray,/rei/,1_syll,simple,front,consonantal_front,Re,Re_tense,,
rin, /rɪn/,1_syll,simple,front,consonantal_front,Ri,Ri_lax,,n
ree,/ri/,1_syll,simple,front,consonantal_front,Ri,Ri_tense,,
rye, /raɪ/,1_syll,simple,front,consonantal_front,Ry,Ry,,
