Word,IPA,Length,Complexity,Backness,Category,Target,Subcategory,Onset,Coda
ar, /ɑɚ/ ,1_syll,simple,back,vocalic_back,Dar,Dar,,
arp, /ɑɚp/,1_syll,simple,back,vocalic_back,Dar,Dar,,p
dar, /dɑɚ/,1_syll,simple,back,vocalic_back,Dar,Dar,d,
ard,/ɑɚd/,1_syll,simple,back,vocalic_back,Dar,Dar,,d
gar, /gɑɚ/,1_syll,simple,back,vocalic_back,Dar,Dar,g,
arg, /ɑɚg/,1_syll,simple,back,vocalic_back,Dar,Dar,,g
or, /ɔɚ/ ,1_syll,simple,back,vocalic_back,Dor,Dor,,
ort, /ɔɚt/ ,1_syll,simple,back,vocalic_back,Dor,Dor,,t
